"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000099795",43.9319816592037,2.17938291029961,0.637448573792271,3.41891565830033,0.0006287121094508,0.0152269946646435
"ENSG00000144747",80.108107681181,1.72135920229643,0.503837453541724,3.41649710674771,0.000634323378466249,0.0153100115942035
"ENSG00000103342",223.708299524795,1.94101378535784,0.568094923285344,3.41670679634449,0.000633835040448735,0.0153100115942035
"ENSG00000015285",129.706482344092,2.01423450048924,0.589933522922042,3.41434148463438,0.000639363856240745,0.015405153532756
"ENSG00000105698",139.082989218508,1.86112536971727,0.545262026384543,3.41326789627694,0.000641888095789291,0.0154394455699026
"ENSG00000170989",113.253147179677,1.88354721583387,0.552017073734723,3.41211767797426,0.000644602792494486,0.0154434734522677
"ENSG00000163219",167.565539414658,1.74617435869686,0.511804748047499,3.411797888469,0.000645359441134485,0.0154434734522677
"ENSG00000227039",65.0971392494789,1.74686178444826,0.511970696283083,3.41203470653791,0.000644799030525575,0.0154434734522677
"ENSG00000169813",155.237147513024,1.9789354861699,0.58020305543617,3.41076364150173,0.000647812215469881,0.0154718551038395
"ENSG00000180644",153.289757977307,2.53163277089803,0.742334128542247,3.41036828775407,0.000648752107327794,0.0154718551038395
"ENSG00000071626",205.533187887814,1.85728995160312,0.544808216136278,3.40907111272077,0.000651844853122119,0.0155192196525152
"ENSG00000125503",313.796414336303,2.10538267275352,0.617768598907103,3.40804417135827,0.000654303021785145,0.0155427541888085
"ENSG00000160255",499.863359747724,2.24312567707277,0.658245768309613,3.40773277256785,0.000655050112357257,0.0155427541888085
"ENSG00000130254",280.442617921673,1.93228628483909,0.567134157945741,3.40710616309583,0.000656555843517537,0.0155435432341093
"ENSG00000257103",151.042119524508,1.99627235485384,0.585967530543577,3.40679688002846,0.00065730023089402,0.0155435432341093
"ENSG00000170638",118.400187199217,2.26419428018568,0.664817137632226,3.40573994264002,0.00065985001233175,0.0155775702406197
"ENSG00000137478",83.8355586843947,1.71214293226366,0.502980884338869,3.40399205133639,0.000664086858389361,0.0156202339947608
"ENSG00000129347",179.914338326465,1.89985991031796,0.558150318366419,3.40384990888911,0.000664432518039371,0.0156202339947608
"ENSG00000100241",368.690805340151,1.74821790511785,0.513635297447413,3.4036171458735,0.000664998908569649,0.0156202339947608
"ENSG00000059588",125.212521413343,1.68176288596022,0.494567133482667,3.40047441915013,0.00067269029710512,0.0157208271844655
"ENSG00000115875",88.3616161345239,1.85753361292665,0.54630588868758,3.40017131682235,0.000673436454548062,0.0157208271844655
"ENSG00000251791",58.5039957132734,3.94221261184209,1.1594614583583,3.40003764974123,0.000673765751826553,0.0157208271844655
"ENSG00000125347",288.5035932401,1.78768147991422,0.525667931039494,3.40078093860344,0.00067193650931339,0.0157208271844655
"ENSG00000130985",141.794366088184,1.59147413050903,0.46831469735494,3.39830062882445,0.000678058646968432,0.0157947116386019
"ENSG00000096717",103.61626133866,1.98841600561008,0.58548468390466,3.39618791109806,0.000683314312862681,0.0158907406455611
"ENSG00000129968",207.223529515462,2.05739397326668,0.606149783348375,3.39420062464038,0.000688292489662115,0.0159800092426024
"ENSG00000205413",100.641841018703,1.74694785793872,0.51488775526245,3.39287124248712,0.000691641403019794,0.016017639377612
"ENSG00000169871",271.021812824148,1.75755962433541,0.518118039933112,3.39219924587515,0.000693340020124827,0.016017639377612
"ENSG00000099901",70.1840900867926,1.77943204885444,0.524555923568701,3.39226375854926,0.00069317678227345,0.016017639377612
